Filename,# unique final preds,# useful preds,# preds w/ calls,# initial preds,# final preds,# initial full exprs unseq. s.e,additional partial-alias responses,additional must-not-alias responses,additional may-alias responses,additional must-alias responses,Benchmark,Increase in additional may-alias responses(%),Increase in additional must-alias responses(%),Increase in additional must-not-alias responses(%),Increase in additional partial-alias responses(%),Total AA Queries,Total AA Queries w/ Unseq
xml-tree.stats,19,0,0,27,23,24,0,0,0,0,538.imagick_r,0.0,0.0,0.0,0.0,183249.0,183249.0
colormap.stats,0,0,0,31,0,30,0,0,0,0,538.imagick_r,0.0,0.0,0.0,0.0,2800.0,2800.0
file_ops.stats,4,1,0,10,4,8,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,13207.0,13207.0
pixel-wand.stats,0,0,0,4,0,4,0,0,0,0,538.imagick_r,0.0,0.0,0.0,0.0,4114.0,4114.0
editmesh_bisect.stats,1,1,0,31,1,11,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,10892.0,10892.0
mask_shapekey.stats,0,0,0,18,0,7,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,8638.0,8638.0
editmesh_tools.stats,95,18,47,127,114,65,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,545914.0,545914.0
text_format.stats,1,0,0,7,1,6,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,2266.0,2266.0
clip_graph_ops.stats,0,0,0,16,0,6,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,5592.0,5592.0
screendump.stats,0,0,0,18,0,7,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,9942.0,9942.0
paint_mask.stats,0,0,0,30,0,10,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,135738.0,135738.0
drawmesh.stats,0,0,0,30,0,10,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,130481.0,130481.0
info_stats.stats,0,0,0,30,0,10,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,36459.0,36459.0
wm_init_exit.stats,0,0,0,6,0,5,0,0,0,0,526.blender_r,0.0,0.0,0.0,0.0,2456.0,2456.0
